Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Date
55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly,2024-04-09
19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly,2024-04-21
50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly,2024-04-13
21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly,2024-04-27
27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly,2024-04-20
53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,2024-04-25
30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,2024-04-19
61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly,2024-04-23
64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly,2024-04-16
52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly,2024-04-23
31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly,2024-04-19
33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly,2024-04-08
35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,2024-04-26
35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly,2024-04-07
70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly,2024-04-23
25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,2024-04-16
47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,2024-04-08
41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly,2024-04-13
63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly,2024-04-25
50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,Yes,17,Cash,Weekly,2024-04-14
30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,2024-04-09
48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly,2024-04-10
49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly,2024-04-29
50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly,2024-04-18
50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,2024-04-24
53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,2024-04-19
52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,2024-04-10
25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly,2024-04-15
37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly,2024-04-08
37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly,2024-04-20
62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly,2024-04-23
64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly,2024-04-17
56,Male,Backpack,Accessories,26,New York,M,Black,Summer,4.0,Yes,Standard,Yes,Yes,26,Venmo,Fortnightly,2024-04-04
37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly,2024-04-14
70,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,Weekly,2024-04-11
50,Male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29,Cash,Fortnightly,2024-04-28
40,Male,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly,2024-04-17
30,Male,Backpack,Accessories,58,New Mexico,M,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,42,PayPal,Weekly,2024-04-21
68,Male,Sneakers,Footwear,43,Colorado,M,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,Yes,38,PayPal,Weekly,2024-04-30
63,Male,Shirt,Clothing,28,North Carolina,L,Yellow,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly,2024-04-20
56,Male,Gloves,Accessories,46,Virginia,M,Turquoise,Fall,4.9,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly,2024-04-20
63,Male,Shoes,Footwear,64,Idaho,M,Purple,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,31,Bank Transfer,Fortnightly,2024-04-11
25,Male,Shirt,Clothing,73,Connecticut,XL,Teal,Fall,4.1,Yes,Standard,Yes,Yes,50,Bank Transfer,Monthly,2024-04-13
27,Male,Gloves,Accessories,23,Texas,M,Orange,Summer,4.6,Yes,Free Shipping,Yes,Yes,34,Venmo,Monthly,2024-04-28
54,Male,Skirt,Clothing,67,Virginia,M,Purple,Summer,3.4,Yes,Standard,Yes,Yes,8,Debit Card,Weekly,2024-04-27
42,Male,Handbag,Accessories,60,Kentucky,S,Yellow,Winter,2.8,Yes,Store Pickup,Yes,Yes,7,Cash,Monthly,2024-04-30
